Longitude,Latitude,Altitude,Distance_m
17.7654513,-25.99907,939.601,0.0
17.76558530888792,-25.999163854842546,939.7705161418252,20.0
17.76576398603043,-25.999178011448027,939.9092575805978,40.0
17.765942912711104,-25.999192349372574,940.2657343145614,60.0
17.76612180897367,-25.999207142178,940.4276587433361,80.0
17.766300914216178,-25.999219734518018,940.4281814751853,100.0
17.76647989295162,-25.999233635443314,940.3511609426904,120.0
17.766658902936435,-25.999247334187412,940.1522193752935,140.0
17.76683798845129,-25.999260136031666,940.1800394853739,160.0
17.76701733349267,-25.999269595763373,940.095351717949,180.0
17.767196912024595,-25.9992742,939.7276877470273,200.0
17.76737650485761,-25.99927100703867,939.4310703866627,220.0
17.76755504826824,-25.99925380739025,939.3024734416518,240.0
17.76772608667815,-25.999258543186635,939.1840857634867,260.0
